City,Locality,Total_Area,Price_per_SQFT,Price_in_Cr,Property_Type,BHK_Type,Baths,Balcony,City_Level_Annual_CAGR,Locality_Level_Annual_CAGR,CAGR_source,1yr_Forecast_PriceSQFT,2yr_Forecast_PriceSQFT,3yr_Forecast_PriceSQFT
Chennai,Kanathur Reddikuppam,2583,7700,1.99,Flat,4 BHK,4,Yes,0.0619,,city,8176.63,8682.76,9220.23
Chennai,Pozhichalur,7000,3210,2.25,Independent House,10 BHK,6,Yes,0.0619,,city,3408.7,3619.7,3843.76
Chennai,West Tambaram,1320,7580,1,Flat,3 BHK,3,No,0.0619,,city,8049.2,8547.45,9076.53
Chennai,Triplicane,4250,7840,3.33,Independent House,7 BHK,5,Yes,0.0619,,city,8325.3,8840.63,9387.87
Chennai,Avadi,960,5000,0.48,Flat,2 BHK,3,Yes,0.0619,,city,5309.5,5638.16,5987.16
Chennai,Siruseri,940,4250,0.4,Flat,2 BHK,3,No,0.0619,,city,4513.08,4792.43,5089.09
Chennai,Sembakkam,880,6820,0.6,Flat,2 BHK,3,Yes,0.0619,,city,7242.16,7690.45,8166.49
Chennai,Mahindra World City,1700,4250,0.72,Independent House,3 BHK,3,Yes,0.0619,,city,4513.08,4792.43,5089.09
Chennai,West Tambaram,840,5000,0.42,Flat,2 BHK,3,No,0.0619,,city,5309.5,5638.16,5987.16
Chennai,Chromepet,535,5610,0.3,Flat,1 BHK,2,No,0.0619,,city,5957.26,6326.01,6717.59
Chennai,Mahindra World City,581,5060,0.29,Flat,1 BHK,2,Yes,0.0619,,city,5373.21,5705.82,6059.01
Chennai,Pallikaranai,1444,9000,1.3,Flat,3 BHK,3,No,0.0619,,city,9557.1,10148.68,10776.89
Chennai,West Mambalam,6000,14170,8.5,Villa,6 BHK,1,Yes,0.0619,,city,15047.12,15978.54,16967.61
Chennai,Ashok Nagar,878,13100,1.15,Flat,2 BHK,3,Yes,0.0619,,city,13910.89,14771.97,15686.36
Chennai,Madambakkam,944,5190,0.49,Flat,2 BHK,3,No,0.0619,,city,5511.26,5852.41,6214.67
Chennai,Perungalathur,1317,4330,0.57,Flat,3 BHK,3,No,0.0619,,city,4598.03,4882.64,5184.88
Chennai,Padappai,820,3050,0.25,Flat,2 BHK,3,No,0.0619,,city,3238.8,3439.28,3652.17
Chennai,Nungambakkam,1658,15680,2.6,Flat,3 BHK,3,Yes,0.0619,,city,16650.59,17681.26,18775.73
Chennai,Muttukadu,4200,7070,2.97,Flat,4 BHK,5,Yes,0.0619,,city,7507.63,7972.36,8465.84
Chennai,Pozhichalur,2838,5710,1.62,Independent House,2 BHK,4,Yes,0.0619,,city,6063.45,6438.78,6837.34
Chennai,Vandalur,1566,6900,1.08,Villa,3 BHK,3,No,0.0619,,city,7327.11,7780.66,8262.28
Chennai,Thiruverkkadu,2350,4250,1,Flat,4 BHK,4,Yes,0.0619,,city,4513.08,4792.43,5089.09
Chennai,Ayappakkam,868,4610,0.4,Flat,2 BHK,3,Yes,0.0619,,city,4895.36,5198.38,5520.16
Chennai,Choolaimedu,926,9610,0.89,Flat,2 BHK,3,Yes,0.0619,,city,10204.86,10836.54,11507.32
Chennai,Saidapet,1090,5780,0.63,Flat,2 BHK,3,Yes,0.0619,,city,6137.78,6517.71,6921.16
